av_alive,av_w0,av_alph_w,av_lambda,av_thr1,av_thr2,av_t_thr,av_beta,sd_w0,sd_alph_w,sd_lambda,sd_thr1,sd_thr2,sd_t_thr,sd_beta
0.83925,8.53419722008705,0.900210296422243,0,0.881338141202927,0,1000,14.0155436570644,0.0614312866714907,0.0443472191125805,0,0.0658181222050188,0,0,0.0566010630264687
0.84175,8.55913140511513,0.925115644216537,0,0.859102553114295,0,1000,14.0542949175835,0.0486986906446582,0.0415779817272313,0,0.0491105179689913,0,0,0.0657131297281773
0.84925,8.51747022485733,0.94006107634306,0,0.902219995602965,0,1000,14.1272113022804,0.0489868271199047,0.0412047266694582,0,0.0545850381083782,0,0,0.0836361460397262
0.8495,8.46811079907417,0.961989646434784,0,0.926147011682391,0,1000,14.023347755909,0.0839378378315928,0.0339519925111848,0,0.0404870163940023,0,0,0.0584574395190577
0.8485,8.37382825374603,0.890961792811751,0,0.890039541184902,0,1000,14.0544419946671,0.0876458492277719,0.0604663640033506,0,0.0338823881178626,0,0,0.0952118869816593
0.84325,8.37010251760483,0.929969255238771,0,0.909725048363209,0,1000,14.0463119237423,0.0736458277431472,0.0404035804103587,0,0.034913820607521,0,0,0.147047539313402
0.84775,8.32829721260071,0.943131963863969,0,0.867499523133039,0,1000,13.9045418601036,0.0474608615058023,0.0418023540759432,0,0.0407860032110169,0,0,0.0714165212851731
0.841,8.31671077084541,0.954432953819633,0,0.870641734018922,0,1000,13.8885131437778,0.0470325800789584,0.0356529178223432,0,0.0452898879027153,0,0,0.0398225187143649
0.85425,8.32206003236771,0.955585897818208,0,0.840038349866867,0,1000,13.8891947698593,0.055919988819498,0.0356145806090434,0,0.0449359403863609,0,0,0.0399780574635121
0.86325,8.32963507080078,0.945997701227665,0,0.854454632088542,0,1000,13.9153294405937,0.0813617540154484,0.0379659132859489,0,0.0404180221448481,0,0,0.049226487978881
0.84525,8.26190057432652,0.970221985384822,0,0.871190002277493,0,1000,13.8999958143234,0.116348595810858,0.0309936609077504,0,0.0380194290924882,0,0,0.0540501121005664
0.84375,8.11476848936081,0.940895320549607,0,0.888059879124165,0,1000,13.9274746413231,0.155119633647977,0.0472547875935551,0,0.0442280816124364,0,0,0.0517501308292198
0.83625,8.03141018950939,0.910763669893146,0,0.913878411844373,0,1000,13.8624595234394,0.140856566922148,0.048815397954424,0,0.0619703035672391,0,0,0.0405317770631971
0.839,7.94131661438942,0.888184562519193,0,0.895444353356957,0,1000,13.855912314415,0.103067576292702,0.0499192480966917,0,0.0658859830093201,0,0,0.0845703486308244
0.84925,7.9044551653862,0.95162055772543,0,0.899993623897433,0,1000,13.860551857233,0.0727020377525419,0.0331182893265602,0,0.0482215479469276,0,0,0.104026531053758
0.844,7.90836199569702,0.968953488245606,0,0.849756285861134,0,1000,13.7553885750771,0.065201583666439,0.0253472525728797,0,0.0393393271440522,0,0,0.0780539671610082
0.8475,7.86724083828926,0.982927218437195,0,0.835283851578832,0,1000,13.7344142253399,0.0452306229617521,0.0176028391224239,0,0.0410778229860737,0,0,0.108876467372106
